amfi_code,1 Year CAGR (%),3 Year CAGR (%),5 Year CAGR (%),Overall CAGR (%)
100016,-3.31,-0.03,,2.64
100025,2.5,4.61,,4.46
100033,47.73,33.63,,30.12
101206,45.09,32.53,,23.54
101207,-24.24,-2.7,,7.94
101208,6.85,6.08,,6.51
102885,18.32,17.52,,18.23
102886,-13.23,-1.83,,1.17
102887,12.73,25.66,,16.84
118632,21.78,18.09,,24.05
118633,28.41,18.13,,16.27
118634,22.37,7.58,,16.37
118635,22.0,16.24,,15.96
118636,10.62,4.15,,5.32
119092,3.4,0.56,,6.37
119093,19.79,20.58,,7.9
119094,30.92,36.07,,28.21
119095,-45.42,-11.07,,1.52
119120,5.72,5.61,,5.89
119551,48.88,27.73,,25.8
119552,8.25,15.38,,21.52
119598,84.53,27.81,,32.42
119599,11.91,-0.69,,2.05
120503,4.81,14.8,,18.79
120504,11.5,28.37,,23.3
120505,30.35,30.21,,32.83
120506,32.9,18.25,,17.08
120507,7.01,7.05,,7.24
120841,18.16,16.68,,13.53
120842,18.61,10.04,,6.7
120843,28.48,25.66,,30.91
120844,6.84,6.54,,6.92
125497,29.35,17.71,,19.02
125498,16.67,12.49,,11.3
148567,14.58,31.28,,30.97
148568,10.5,13.08,,22.52
148569,44.47,23.32,,31.95
149322,19.13,16.53,,13.39
149323,22.31,24.24,,29.58
149324,62.08,25.03,,32.29
