amfi_code,1 Year CAGR (%),3 Year CAGR (%),5 Year CAGR (%),Overall CAGR (%),Sharpe Ratio,Alpha,Beta,Maximum Drawdown (%),expense_ratio_pct,Return Rank,Sharpe Rank,Alpha Rank,Expense Rank,Drawdown Rank,Fund Score
148567,14.58,31.28,,30.97,1.448,0.2698,0.0237,-11.27,1.46,4.0,1.0,7.0,23.0,8.0,80.04216444132115
100033,47.73,33.63,,30.12,1.094,0.272,0.0051,-16.22,1.38,2.0,7.0,6.0,17.0,20.0,77.23120168657765
120505,30.35,30.21,,32.83,1.18,0.2926,0.0005,-18.19,1.36,5.0,5.0,3.0,15.0,25.0,77.23120168657765
120843,28.48,25.66,,30.91,1.307,0.2733,-0.0228,-12.97,1.45,9.5,2.0,5.0,22.0,13.0,74.84188334504567
120504,11.5,28.37,,23.3,1.027,0.2119,0.0162,-12.59,0.8,6.0,9.5,13.0,12.0,12.0,72.5228390723823
119094,30.92,36.07,,28.21,0.998,0.2608,-0.0663,-20.96,1.38,1.0,11.0,9.0,17.0,28.0,71.32817990161631
119551,48.88,27.73,,25.8,1.208,0.232,-0.0318,-15.01,1.54,8.0,4.0,10.0,30.5,17.0,67.18200983836964
101206,45.09,32.53,,23.54,1.027,0.214,0.0211,-11.29,1.6,3.0,9.5,12.0,36.5,9.0,66.12789880534082
119598,84.53,27.81,,32.42,0.945,0.3034,-0.0232,-28.71,1.43,7.0,14.0,1.0,21.0,36.0,64.72241742796908
148569,44.47,23.32,,31.95,1.235,0.2827,0.0181,-16.4,1.6,13.0,3.0,4.0,36.5,21.0,63.38721011946592
149323,22.31,24.24,,29.58,1.132,0.266,-0.0025,-17.25,1.61,12.0,6.0,8.0,38.0,22.0,58.95994378074491
119552,8.25,15.38,,21.52,0.953,0.1987,-0.0262,-11.8,0.66,23.0,12.0,15.0,4.0,11.0,58.95994378074491
149324,62.08,25.03,,32.29,0.95,0.3006,0.0115,-31.17,1.52,11.0,13.0,2.0,26.5,37.0,58.889669711876316
118632,21.78,18.09,,24.05,1.082,0.2183,-0.0084,-17.41,1.51,17.0,8.0,11.0,24.5,23.0,57.06254392129303
125497,29.35,17.71,,19.02,0.776,0.1773,0.0488,-15.2,0.92,18.0,18.0,16.0,14.0,18.0,52.213633169360506
118633,28.41,18.13,,16.27,0.645,0.1564,-0.0366,-18.63,0.72,16.0,21.0,22.0,5.5,26.0,49.75404075895994
118635,22.0,16.24,,15.96,0.665,0.1514,-0.0014,-11.65,0.89,22.0,19.0,23.0,13.0,10.0,46.872803935347854
120506,32.9,18.25,,17.08,0.649,0.1625,0.0419,-19.83,1.41,15.0,20.0,20.0,19.0,27.0,46.45115952213633
120503,4.81,14.8,,18.79,0.798,0.177,-0.0403,-13.9,1.42,24.0,17.0,17.0,20.0,14.0,45.88896697118763
102885,18.32,17.52,,18.23,0.817,0.1705,-0.0195,-10.86,1.57,19.0,16.0,19.0,34.0,7.0,45.74841883345045
148568,10.5,13.08,,22.52,0.926,0.2087,-0.0264,-15.27,1.52,25.0,15.0,14.0,26.5,19.0,43.99156711173577
119093,19.79,20.58,,7.9,0.13,0.0823,0.0259,-21.75,0.75,14.0,29.0,28.0,8.0,31.0,39.985945186226274
102887,12.73,25.66,,16.84,0.62,0.1621,0.0167,-21.54,1.64,9.5,22.0,21.0,39.5,30.0,39.634574841883335
120507,7.01,7.05,,7.24,0.496,0.0675,-0.0004,-0.1,0.74,29.0,23.0,31.0,7.0,1.0,38.7210119465917
149322,19.13,16.53,,13.39,0.464,0.1317,-0.0041,-14.84,1.54,21.0,25.0,24.0,30.5,16.0,33.87210119465915
125498,16.67,12.49,,11.3,0.301,0.1199,0.0091,-21.12,0.78,26.0,27.0,26.0,10.0,29.0,32.11524947294448
120844,6.84,6.54,,6.92,-0.089,0.0646,-0.0004,-0.12,0.6,30.0,34.0,32.0,3.0,2.0,30.990864371047085
120841,18.16,16.68,,13.53,0.494,0.1304,0.0364,-17.57,1.59,20.0,24.0,25.0,35.0,24.0,30.70976809557273
118634,22.37,7.58,,16.37,0.448,0.175,0.1035,-23.34,1.53,28.0,26.0,18.0,28.5,32.0,26.985242445537594
118636,10.62,4.15,,5.32,-0.357,0.0507,0.0013,-8.32,0.55,34.0,38.0,35.0,1.0,6.0,22.83907238229093
119120,5.72,5.61,,5.89,-0.227,0.0562,-0.0064,-4.33,0.77,32.0,37.0,34.0,9.0,5.0,22.69852424455374
101208,6.85,6.08,,6.51,-0.816,0.0609,0.0003,-0.16,0.79,31.0,40.0,33.0,11.0,3.0,21.714687280393534
100025,2.5,4.61,,4.46,-0.567,0.0428,0.0012,-4.31,0.56,33.0,39.0,38.0,2.0,4.0,21.43359100491918
120842,18.61,10.04,,6.7,0.076,0.078,0.0181,-24.0,1.56,27.0,30.0,29.0,33.0,33.0,16.65495432185523
119599,11.91,-0.69,,2.05,-0.057,0.0488,0.062,-52.57,0.72,37.0,32.0,36.0,5.5,40.0,12.508784258608562
119092,3.4,0.56,,6.37,0.031,0.069,0.0097,-14.4,1.64,35.0,31.0,30.0,39.5,15.0,10.962754743499637
101207,-24.24,-2.7,,7.94,0.163,0.109,-0.0653,-35.45,1.53,39.0,28.0,27.0,28.5,38.0,9.557273366127896
119095,-45.42,-11.07,,1.52,-0.076,0.048,-0.067,-51.68,1.38,40.0,33.0,37.0,17.0,39.0,4.146170063246647
100016,-3.31,-0.03,,2.64,-0.202,0.0375,-0.0583,-24.73,1.55,36.0,35.0,39.0,32.0,34.0,0.0702740688685835
102886,-13.23,-1.83,,1.17,-0.206,0.029,-0.0421,-28.0,1.51,38.0,36.0,40.0,24.5,35.0,0.0
